StartDate,ReportParameters_1,Values_1
04/01/2025,Company:,Ragle - Texas
04/01/2025,Status:,Active

EndDate,ReportParameters_2,Values_2
04/30/2025,Data Source:,Gauge Device
04/30/2025,,Including Assets with No Usage

Month_Hours,AssetLabel_Hours,AssetMonth_Hours,AssetPeriod_Hours,MonthTotal_Hours,PeriodTotal_Hours
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,ET-24 (Troy Malette) FORD F250 2023 Pickup Truck +,0:03,0:03,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,ET-37 (SABINO IBARRA) FORD F250 2024 Pickup Truck +,0:10,0:10,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-107 (DFW OFFICE TRUCK) FORD F150 2017 Pickup Truck +,0:02,0:02,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-09S (JOVAN ESPINOZA-CASILLAS) FORD F150 2022 Pickup Truck +,0:03,0:03,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,"PT-168 (RAMIREZ, LUIS F) FORD F150 2020 Pickup Truck +",0:26,0:26,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-17S (OPEN SELECT JST) FORD F250 2024 Pickup Truck +,0:13,0:13,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-20S (OBALDO CHAVEZ) FORD F250 2024 Pickup Truck +,0:11,0:11,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-282 (JUSTIN WAYNE OWENS) FORD F250 XL 2024 Pickup Truck +,0:06,0:06,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-07S (ROGER DODDY) FORD F150 2021 Pickup Truck +,0:04,0:04,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,ET-31 (RAMIRO VAZQUEZ DE LA CRUZ) FORD F250 2024 Pickup Truck +,0:06,0:06,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,BT-02S FORD F450 2011 Heavy Truck +,0:02,0:02,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-274 (Grecia Mancho Camacho) FORD MAVERICK XL 2024 Pickup Truck +,3:32,3:32,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-166 (JUAN LUEVANO) FORD F150 2020 Pickup Truck +,0:01,0:01,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-207 (JUAN CARLOS VAZQUEZ) FORD F250 2020 Pickup Truck +,0:07,0:07,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-177 (SALVADOR RODRIGUEZ JR) FORD F250 2020 Pickup Truck +,1:42,1:42,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-276 (Mario Moya) FORD MAVERICK XL 2024 Pickup Truck +,0:06,0:06,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-190 (JOSE TURRUBIARTES JR) FORD F250 2021 Pickup Truck +,0:02,0:02,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,SFB-13 MACK MD6 2023 Truck Mounted Attenuator (TMA) +,5:48,5:48,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-279 (AARON CONCHA) FORD F250 XL 2024 Pickup Truck +,0:03,0:03,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-224 (NAGESH KUMAR) FORD F150 2022 Pickup Truck +,0:18,0:18,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,DT-13 FREIGHTLINER M2 2017 Heavy Truck +,0:15,0:15,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,MT-15 (Korbin Gee) FORD F550 2024 Pickup Truck +,0:35,0:35,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,AC-21 SULLAIR 185 AIR COMPRESSOR 2014 Air Compressor +,0:00,0:00,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-159 (OPEN) FORD F250 2019 Pickup Truck +,0:04,0:04,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-194 (Albert Perry is using) FORD F250 2021 Pickup Truck +,0:37,0:37,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-193 (OPEN DFW TC USING) FORD F250 2021 Pickup Truck +,2:04,2:04,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,BH-22 CAT 420F2 IT Backhoe +,1:24,1:24,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,MT-09 (LORENZO APARICIO) FORD F550 2019 Medium Truck +,0:05,0:05,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-172 (FRANCISCO DIAZ SERNA) FORD F150 2020 Pickup Truck +,0:04,0:04,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,ET-22 (JUAN LOPEZ) FORD F250 2023 Pickup Truck +,0:24,0:24,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,ET-43 (Eric Giebelhaus) FORD F150 STX 2024 Pickup Truck +,0:13,0:13,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-180 (ROBERTO LUMBRERAS) FORD F250 2020 Pickup Truck +,0:04,0:04,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-208 (SALVADOR AGUILLON) FORD F250 2019 Pickup Truck +,0:21,0:21,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,PT-244 (SAM ABUNEMEH) FORD F150 2023 Pickup Truck +,1:24,1:24,71:25,71:25
2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,Apr,"ET-41 (Hampton, Justin D) FORD F150 XL 2024 Pickup Truck +",0:15,0:15,71:25,71:25
2024-034 (2) NTTA DNT ML Deck Repair,Apr,ET-19 (Osiel Salaices) RAM 1500 2022 Pickup Truck +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-09S (JOVAN ESPINOZA-CASILLAS) FORD F150 2022 Pickup Truck +,0:03,0:03,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-16S (ISAAC ROMERO) FORD F150 2024 Pickup Truck +,0:02,0:02,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,ET-43 (Eric Giebelhaus) FORD F150 STX 2024 Pickup Truck +,0:10,0:10,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-177 (SALVADOR RODRIGUEZ JR) FORD F250 2020 Pickup Truck +,0:09,0:09,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,SFB-13 MACK MD6 2023 Truck Mounted Attenuator (TMA) +,0:07,0:07,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-239 (ALEJANDRO RODRIGUEZ) FORD F150 2023 Pickup Truck +,0:02,0:02,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-07S (ROGER DODDY) FORD F150 2021 Pickup Truck +,0:02,0:02,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-187 (ROBERTO LUMBRERAS Loaner) FORD F250 2021 Pickup Truck +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-278 (Juan Castro) FORD MAVERICK XL 2024 Pickup Truck +,0:15,0:15,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-244 (SAM ABUNEMEH) FORD F150 2023 Pickup Truck +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,SFB-07S KENWORTH T280 2024 Truck Mounted Attenuator (TMA) +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-167 (OMAR RAMIREZ) FORD F150 2020 Pickup Truck +,0:05,0:05,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,#210003 - AMMAR I. ELHAMAD FORD F150 2024 Personal Vehicle +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,ET-04 (GERALD EHIMHEN) RAM 1500 2022 Pickup Truck +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-224 (NAGESH KUMAR) FORD F150 2022 Pickup Truck +,0:53,0:53,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-89 (ROBERT NEFF) FORD F150 2017 Pickup Truck +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,ET-38 (Caleb Padgett) FORD F150 2024 Pickup Truck +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,ET-42 (JUAN C. BERJES RUIZ) FORD F150 XL 2024 Pickup Truck +,0:06,0:06,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-279 (AARON CONCHA) FORD F250 XL 2024 Pickup Truck +,0:01,0:01,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,SFB-06S KENWORTH T280 2024 Truck Mounted Attenuator (TMA) +,0:02,0:02,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,SFB-12 MACK MD6 2023 Truck Mounted Attenuator (TMA) +,0:04,0:04,2:18,2:18
2024-034 (2) NTTA DNT ML Deck Repair,Apr,PT-159 (OPEN) FORD F250 2019 Pickup Truck +,0:01,0:01,2:18,2:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,ET-19 (Osiel Salaices) RAM 1500 2022 Pickup Truck +,0:01,0:01,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,PT-226 (CATALINO FLORES SR) FORD F250 2022 Pickup Truck +,0:04,0:04,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,ET-28 (JORGE L. FLORES) FORD F250 2024 Pickup Truck +,0:01,0:01,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,PT-227 (JOSE RANGEL loaner) FORD F250 2022 Pickup Truck +,0:01,0:01,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,PT-17S (OPEN SELECT JST) FORD F250 2024 Pickup Truck +,0:01,0:01,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,PT-180 (ROBERTO LUMBRERAS) FORD F250 2020 Pickup Truck +,0:00,0:00,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,PT-185 (JOSE BAUTISTA) FORD F150 2020 Pickup Truck +,0:01,0:01,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,PT-193 (OPEN DFW TC USING) FORD F250 2021 Pickup Truck +,0:00,0:00,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,PT-182 (Leonel Munoz) FORD F250 2020 Pickup Truck +,0:03,0:03,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,ET-09 (JOSE C. RAMIREZ) RAM 1500 2022 Pickup Truck +,0:02,0:02,0:18,0:18
2024-019 (22) Tarrant VA Bridge Rehab,Apr,ET-37 (SABINO IBARRA) FORD F250 2024 Pickup Truck +,0:01,0:01,0:18,0:18
2022-033 CoMckinney Collin Mckinney Pkwy,Apr,ET-19 (Osiel Salaices) RAM 1500 2022 Pickup Truck +,0:09,0:09,1:39,1:39
2022-033 CoMckinney Collin Mckinney Pkwy,Apr,#210055 - ADAM H. GOODE JEEP GLADIATOR Personal Vehicle +,1:20,1:20,1:39,1:39
2022-033 CoMckinney Collin Mckinney Pkwy,Apr,PT-89 (ROBERT NEFF) FORD F150 2017 Pickup Truck +,0:09,0:09,1:39,1:39
TEXDIST,Apr,ET-23 (JOSE J. RIVERA) FORD F250 2023 Pickup Truck +,0:17,0:17,44:29,44:29
TEXDIST,Apr,PT-268 (OEPN) FORD MAVERICK XLT 2024 Pickup Truck +,0:59,0:59,44:29,44:29
TEXDIST,Apr,ET-09 (JOSE C. RAMIREZ) RAM 1500 2022 Pickup Truck +,0:31,0:31,44:29,44:29
TEXDIST,Apr,PT-187 (ROBERTO LUMBRERAS Loaner) FORD F250 2021 Pickup Truck +,2:22,2:22,44:29,44:29
TEXDIST,Apr,PT-269 (Hector Claudio) FORD F350 2024 Pickup Truck +,0:04,0:04,44:29,44:29
TEXDIST,Apr,PT-245 (JARED RUHRUP) FORD F150 2023 Pickup Truck +,0:40,0:40,44:29,44:29
TEXDIST,Apr,PT-09S (JOVAN ESPINOZA-CASILLAS) FORD F150 2022 Pickup Truck +,0:23,0:23,44:29,44:29
TEXDIST,Apr,ET-14 (Caleb Kocmick) RAM 1500 2022 Pickup Truck +,0:19,0:19,44:29,44:29
TEXDIST,Apr,"ET-07 (HAYS, PAXTON C) RAM 1500 2022 Pickup Truck +",0:06,0:06,44:29,44:29
TEXDIST,Apr,ET-04 (GERALD EHIMHEN) RAM 1500 2022 Pickup Truck +,0:23,0:23,44:29,44:29
TEXDIST,Apr,OV-01 (OFFICE VEHICLE) FORD FUSION 2019 Pickup Truck +,0:43,0:43,44:29,44:29
TEXDIST,Apr,ET-18 (AARON MOORE) RAM 1500 2022 Pickup Truck +,0:05,0:05,44:29,44:29
TEXDIST,Apr,"ET-41 (Hampton, Justin D) FORD F150 XL 2024 Pickup Truck +",2:29,2:29,44:29,44:29
TEXDIST,Apr,PT-279 (AARON CONCHA) FORD F250 XL 2024 Pickup Truck +,0:06,0:06,44:29,44:29
TEXDIST,Apr,ET-15 (Carlos Eclavea) RAM 1500 2022 Pickup Truck +,0:29,0:29,44:29,44:29
TEXDIST,Apr,ET-11 (Roberto Guerrero Jr.) RAM 1500 2022 Pickup Truck +,0:22,0:22,44:29,44:29
TEXDIST,Apr,ET-02 (Anthony Hardimon) RAM 1500 2022 Pickup Truck +,0:04,0:04,44:29,44:29
TEXDIST,Apr,PT-107 (DFW OFFICE TRUCK) FORD F150 2017 Pickup Truck +,1:35,1:35,44:29,44:29
TEXDIST,Apr,PT-213 (CATALINO FLORES JR) FORD F250 2021 Pickup Truck +,0:03,0:03,44:29,44:29
TEXDIST,Apr,PT-218 (Michael Hammons) FORD F250 2022 Pickup Truck +,0:05,0:05,44:29,44:29
TEXDIST,Apr,#210055 - ADAM H. GOODE JEEP GLADIATOR Personal Vehicle +,0:27,0:27,44:29,44:29
TEXDIST,Apr,PT-219 (VALENTIN LOPEZ) FORD F250 2022 Pickup Truck +,0:20,0:20,44:29,44:29
TEXDIST,Apr,#210073 - BIKHYAT ADHIKARI TOYOTA 4 RUNNER 2022 Personal Vehicle +,0:38,0:38,44:29,44:29
TEXDIST,Apr,PT-166 (JUAN LUEVANO) FORD F150 2020 Pickup Truck +,0:01,0:01,44:29,44:29
TEXDIST,Apr,ET-35 (JESUS LOPEZ SOTO) FORD F250 2024 Pickup Truck +,0:20,0:20,44:29,44:29
TEXDIST,Apr,PT-284 (OPEN) FORD F250 XL 2024 Pickup Truck +,0:04,0:04,44:29,44:29
TEXDIST,Apr,PT-240 (CLINT MIZE) FORD F150 2023 Pickup Truck +,0:12,0:12,44:29,44:29
TEXDIST,Apr,ET-01 (SAUL MARTINEZ ALVAREZ) RAM 1500 2022 Pickup Truck +,0:07,0:07,44:29,44:29
TEXDIST,Apr,PT-172 (FRANCISCO DIAZ SERNA) FORD F150 2020 Pickup Truck +,0:22,0:22,44:29,44:29
TEXDIST,Apr,ET-39 (JOSE TERRAZAS) FORD F150 2024 Pickup Truck +,0:14,0:14,44:29,44:29
TEXDIST,Apr,PT-277 (Said Garcia) FORD MAVERICK XL 2024 Pickup Truck +,0:15,0:15,44:29,44:29
TEXDIST,Apr,PT-278 (Juan Castro) FORD MAVERICK XL 2024 Pickup Truck +,2:25,2:25,44:29,44:29
TEXDIST,Apr,PT-193 (OPEN DFW TC USING) FORD F250 2021 Pickup Truck +,0:16,0:16,44:29,44:29
TEXDIST,Apr,PT-180 (ROBERTO LUMBRERAS) FORD F250 2020 Pickup Truck +,0:48,0:48,44:29,44:29
TEXDIST,Apr,PT-241 (MARK GARCIA) FORD F150 2023 Pickup Truck +,1:01,1:01,44:29,44:29
TEXDIST,Apr,PT-244 (SAM ABUNEMEH) FORD F150 2023 Pickup Truck +,0:18,0:18,44:29,44:29
TEXDIST,Apr,PT-274 (Grecia Mancho Camacho) FORD MAVERICK XL 2024 Pickup Truck +,0:01,0:01,44:29,44:29
TEXDIST,Apr,PT-207 (JUAN CARLOS VAZQUEZ) FORD F250 2020 Pickup Truck +,0:12,0:12,44:29,44:29
TEXDIST,Apr,#210003 - AMMAR I. ELHAMAD FORD F150 2024 Personal Vehicle +,1:35,1:35,44:29,44:29
TEXDIST,Apr,ET-19 (Osiel Salaices) RAM 1500 2022 Pickup Truck +,0:19,0:19,44:29,44:29
TEXDIST,Apr,PT-07S (ROGER DODDY) FORD F150 2021 Pickup Truck +,4:38,4:38,44:29,44:29
TEXDIST,Apr,PT-13S (JAVIER MAGALLANES) FORD F150 2023 Pickup Truck +,2:02,2:02,44:29,44:29
TEXDIST,Apr,PT-282 (JUSTIN WAYNE OWENS) FORD F250 XL 2024 Pickup Truck +,0:14,0:14,44:29,44:29
TEXDIST,Apr,PT-242 (HECTOR SANCHEZ) FORD F250 2023 Pickup Truck +,0:03,0:03,44:29,44:29
TEXDIST,Apr,PT-239 (ALEJANDRO RODRIGUEZ) FORD F150 2023 Pickup Truck +,1:00,1:00,44:29,44:29
TEXDIST,Apr,PT-165 (Alberto Zuniga) FORD F150 2020 Pickup Truck +,0:02,0:02,44:29,44:29
TEXDIST,Apr,PT-11S (RAFAEL MURATALLA-CEJA) CHEVROLET 2500HD 2023 Pickup Truck +,0:04,0:04,44:29,44:29
TEXDIST,Apr,PT-275 (OPEN) FORD MAVERICK XL 2024 Pickup Truck +,0:02,0:02,44:29,44:29
TEXDIST,Apr,PT-169 (OPEN F150 STX) FORD F150 2020 Pickup Truck +,0:46,0:46,44:29,44:29
TEXDIST,Apr,PT-270 (OPEN) FORD MAVERICK XL 2024 Pickup Truck +,0:07,0:07,44:29,44:29
TEXDIST,Apr,PT-281 (JOSUE MARTINEZ) FORD F250 XL 2024 Pickup Truck +,0:04,0:04,44:29,44:29
TEXDIST,Apr,PT-237 (JUAN C. MIRAMONTES JR) FORD F250 2023 Pickup Truck +,0:23,0:23,44:29,44:29
TEXDIST,Apr,ET-24 (Troy Malette) FORD F250 2023 Pickup Truck +,0:54,0:54,44:29,44:29
TEXDIST,Apr,PT-16S (ISAAC ROMERO) FORD F150 2024 Pickup Truck +,0:22,0:22,44:29,44:29
TEXDIST,Apr,SV-08 (MICHAEL RIEDER) FORD EXPLORER 2020 Pickup Truck +,0:03,0:03,44:29,44:29
TEXDIST,Apr,ET-12 (Open) RAM 1500 2022 Pickup Truck +,0:27,0:27,44:29,44:29
TEXDIST,Apr,PT-89 (ROBERT NEFF) FORD F150 2017 Pickup Truck +,0:18,0:18,44:29,44:29
TEXDIST,Apr,PT-227 (JOSE RANGEL loaner) FORD F250 2022 Pickup Truck +,0:15,0:15,44:29,44:29
TEXDIST,Apr,PT-276 (Mario Moya) FORD MAVERICK XL 2024 Pickup Truck +,2:54,2:54,44:29,44:29
TEXDIST,Apr,PT-243 (RAMESH BOBBA) FORD F150 2023 Pickup Truck +,1:13,1:13,44:29,44:29
TEXDIST,Apr,ET-08 (JORGE L. MARTINEZ) RAM 1500 2022 Pickup Truck +,0:01,0:01,44:29,44:29
TEXDIST,Apr,"PT-168 (RAMIREZ, LUIS F) FORD F150 2020 Pickup Truck +",0:05,0:05,44:29,44:29
TEXDIST,Apr,PT-92 (STONIE BROWN) FORD F150 2016 Pickup Truck +,0:19,0:19,44:29,44:29
TEXDIST,Apr,ET-13 (open) RAM 1500 2022 Pickup Truck +,0:01,0:01,44:29,44:29
TEXDIST,Apr,ET-21 (OPEN) RAM 1500 2022 Pickup Truck +,0:00,0:00,44:29,44:29
TEXDIST,Apr,PT-15S (OPEN) FORD F150 2023 Pickup Truck +,0:03,0:03,44:29,44:29
TEXDIST,Apr,PT-247 (MARTIN SANCHEZ) FORD F150 2023 Pickup Truck +,0:08,0:08,44:29,44:29
TEXDIST,Apr,PT-228 (DANIEL LOPEZ) FORD F250 2022 Pickup Truck +,0:03,0:03,44:29,44:29
TEXDIST,Apr,PT-208 (SALVADOR AGUILLON) FORD F250 2019 Pickup Truck +,0:22,0:22,44:29,44:29
TEXDIST,Apr,ET-22 (JUAN LOPEZ) FORD F250 2023 Pickup Truck +,0:07,0:07,44:29,44:29
TEXDIST,Apr,ET-43 (Eric Giebelhaus) FORD F150 STX 2024 Pickup Truck +,1:08,1:08,44:29,44:29
TEXDIST,Apr,ET-17 (COOPER LINK) RAM 1500 2022 Pickup Truck +,1:20,1:20,44:29,44:29
TEXDIST,Apr,ET-05 (Anthony Hardimon Loaner) RAM 1500 2022 Pickup Truck +,1:13,1:13,44:29,44:29
TEXDIST,Apr,PT-159 (OPEN) FORD F250 2019 Pickup Truck +,0:10,0:10,44:29,44:29
TEXDIST,Apr,ET-42 (JUAN C. BERJES RUIZ) FORD F150 XL 2024 Pickup Truck +,0:11,0:11,44:29,44:29
TEXDIST,Apr,#210013 - MATTHEW C. SHAYLOR JEEP WRANGLER 2024 Pickup Truck +,0:54,0:54,44:29,44:29
2024-004 CoD Sidewalks 2024 (#08),Apr,ET-25 (JESUS O. RODARTE SERRANO) FORD F250 2023 Pickup Truck +,0:01,0:01,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,DT-13 FREIGHTLINER M2 2017 Heavy Truck +,0:10,0:10,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,PT-227 (JOSE RANGEL loaner) FORD F250 2022 Pickup Truck +,0:08,0:08,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,PT-20S (OBALDO CHAVEZ) FORD F250 2024 Pickup Truck +,0:02,0:02,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,ET-29 (JOSE RANGEL) FORD F250 2024 Pickup Truck +,0:06,0:06,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,PT-167 (OMAR RAMIREZ) FORD F150 2020 Pickup Truck +,0:00,0:00,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,PT-213 (CATALINO FLORES JR) FORD F250 2021 Pickup Truck +,0:04,0:04,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,MT-09 (LORENZO APARICIO) FORD F550 2019 Medium Truck +,0:01,0:01,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,PT-219 (VALENTIN LOPEZ) FORD F250 2022 Pickup Truck +,0:00,0:00,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,PT-228 (DANIEL LOPEZ) FORD F250 2022 Pickup Truck +,0:00,0:00,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,PT-177 (SALVADOR RODRIGUEZ JR) FORD F250 2020 Pickup Truck +,0:36,0:36,1:14,1:14
2024-004 CoD Sidewalks 2024 (#08),Apr,DT-12 FREIGHTLINER M2 2019 Heavy Truck +,0:01,0:01,1:14,1:14
2025-008 NTTA CTP Southbound Mainlanes,Apr,ET-25 (JESUS O. RODARTE SERRANO) FORD F250 2023 Pickup Truck +,2:07,2:07,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,#210013 - MATTHEW C. SHAYLOR JEEP WRANGLER 2024 Pickup Truck +,0:40,0:40,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,#210003 - AMMAR I. ELHAMAD FORD F150 2024 Personal Vehicle +,0:50,0:50,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,SFB-06S KENWORTH T280 2024 Truck Mounted Attenuator (TMA) +,0:13,0:13,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,ET-38 (Caleb Padgett) FORD F150 2024 Pickup Truck +,0:07,0:07,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,PT-281 (JOSUE MARTINEZ) FORD F250 XL 2024 Pickup Truck +,0:06,0:06,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,PT-240 (CLINT MIZE) FORD F150 2023 Pickup Truck +,0:28,0:28,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,ET-02 (Anthony Hardimon) RAM 1500 2022 Pickup Truck +,0:13,0:13,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,SFB-09 FREIGHTLINER M2 106 2013 Truck Mounted Attenuator (TMA) +,0:09,0:09,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,PT-89 (ROBERT NEFF) FORD F150 2017 Pickup Truck +,6:32,6:32,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,PT-268 (OEPN) FORD MAVERICK XLT 2024 Pickup Truck +,0:13,0:13,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,PT-92 (STONIE BROWN) FORD F150 2016 Pickup Truck +,0:06,0:06,12:15,12:15
2025-008 NTTA CTP Southbound Mainlanes,Apr,PT-215 (ERNEST LEMON JR) FORD F250 2022 Pickup Truck +,0:25,0:25,12:15,12:15
Beaumont RAG Property,Apr,ET-32 (URIEL GARCIA-ANDRADE) FORD F250 2024 Pickup Truck +,30:14,30:14,176:04,176:04
Beaumont RAG Property,Apr,PT-229 (REYNERI CABALLERO) FORD F250 2022 Pickup Truck +,0:05,0:05,176:04,176:04
Beaumont RAG Property,Apr,ET-10 (JESUS MEDINA) RAM 1500 2022 Pickup Truck +,34:35,34:35,176:04,176:04
Beaumont RAG Property,Apr,SFB-03S FREIGHTLINER M2 106 2012 Truck Mounted Attenuator (TMA) +,0:17,0:17,176:04,176:04
Beaumont RAG Property,Apr,SFB-04 (POLY SPRAYER) FREIGHTLINER M2 106 2007 Heavy Truck +,0:05,0:05,176:04,176:04
Beaumont RAG Property,Apr,WT-11 FREIGHTLINER M2 106 2014 Heavy Truck +,0:07,0:07,176:04,176:04
Beaumont RAG Property,Apr,PT-190 (JOSE TURRUBIARTES JR) FORD F250 2021 Pickup Truck +,0:23,0:23,176:04,176:04
Beaumont RAG Property,Apr,S-09 PETERBILT 567 2016 Heavy Truck +,3:12,3:12,176:04,176:04
Beaumont RAG Property,Apr,SFB-07 FREIGHTLINER M2 106 2014 Truck Mounted Attenuator (TMA) +,0:20,0:20,176:04,176:04
Beaumont RAG Property,Apr,ET-34 (AURELIANO REYES) FORD F250 2024 Pickup Truck +,1:56,1:56,176:04,176:04
Beaumont RAG Property,Apr,PT-19S (BRYAN FIGUEROA) FORD F150 2024 Pickup Truck +,18:33,18:33,176:04,176:04
